link,link-href,text
"Film","https://en.wikipedia.org/wiki/History_of_film","While the musical film genre had declined in Hollywood by this time, musical films were quickly gaining popularity in the cinema of India, where the term ""Bollywood"" was coined for the growing Hindi film industry in Bombay (now Mumbai) that ended up dominating South Asian cinema, overtaking the more critically acclaimed Bengali film industry in popularity. Hindi filmmakers combined the Hollywood musical formula with the conventions of ancient Indian theatre to create a new film genre called ""Masala"", which dominated Indian cinema throughout the late 20th century.[57] These ""Masala"" films portrayed action, comedy, drama, romance and melodrama all at once, with ""filmi"" song and dance routines thrown in. This trend began with films directed by Manmohan Desai and starring Amitabh Bachchan, who remains one of the most popular film stars in South Asia. The most popular Indian film of all time was Sholay (1975), a ""Masala"" film inspired by a real-life dacoit as well as Kurosawa's Seven Samurai and the Spaghetti Westerns."
"Ecology","https://en.wikipedia.org/wiki/History_of_ecology","The environmental assessment requirement of the 1969 National Environmental Policy Act (NEPA), ""legitimized ecology,"" in the words of one environmental lawyer.[81] An ESA President called it ""an ecological ‘Magna Carta.’""[82] A prominent Canadian ecologist declared it a ""boondoggle.""[83] NEPA and similar state statutes, if nothing else, provided much employment for ecologists. Therein was the issue. Neither ecology nor ecologists were ready for the task. Not enough ecologists were available to work on impact assessment, outside of the DOE laboratories, leading to the rise of ""instant ecologists,""[84] having dubious credentials and capabilities. Calls began to arise for the professionalization of ecology. Maverick scientist Frank Egler, in particular, devoted his sharp prose to the task.[85] Again, a schism arose between basic and applied scientists in the ESA, this time exacerbated by the question of environmental advocacy. The controversy, whose history has yet to receive adequate treatment, lasted through the 1970s and 1980s, ending with a voluntary certification process by the ESA, along with lobbying arm in Washington.[86]"
"Antarctica","https://en.wikipedia.org/wiki/History_of_Antarctica","Women were originally kept from exploring Antarctica until well into the 1950s. A few pioneering women visited the Antarctic land and waters prior to the 1950s and many women requested to go on early expeditions, but were turned away.[86] Early pioneers such as Louise Séguin[87] and Ingrid Christensen were some of the first women to see Antarctic waters.[88] Christensen was the first woman to set foot on the mainland of Antarctica.[88] The first women to have any fanfare about their Antarctic journeys were Caroline Mikkelsen who set foot on an island of Antarctica in 1935,[89] and Jackie Ronne and Jennie Darlington who were the first women to over-winter in Antarctica in 1947.[90] The first woman scientist to work in Antarctica was Maria Klenova in 1956.[91]"
"Ancient Rome","https://en.wikipedia.org/wiki/Ancient_Rome","In 260 AD, the provinces of Syria Palaestina, Asia Minor and Egypt separated from the rest of the Roman state to form the Palmyrene Empire, ruled by Queen Zenobia and centered on Palmyra. In that same year the Gallic Empire was created by Postumus, retaining Britain and Gaul.[121] These countries separated from Rome after the capture of emperor Valerian by the Sassanids of Persia, the first Roman ruler to be captured by his enemies; it was a humiliating fact for the Romans.[120]"
"Ancient Rome","https://en.wikipedia.org/wiki/Ancient_Rome","A famous philhellenist, Hadrian promoted culture, specially the Greek. He also forbade torture and humanized the laws. Hadrian built many aqueducts, baths, libraries and theaters; additionally, he traveled nearly every single province in the Empire to check the military and infrastructural conditions.[103]"
"Ancient history","https://en.wikipedia.org/wiki/Ancient_history","Such a wide sampling of history and territory covers many rather disparate cultures and periods. ""Classical antiquity"" typically refers to an idealized vision of later people, of what was, in Edgar Allan Poe's words, ""the glory that was Greece, the grandeur that was Rome!"" In the 18th and 19th centuries AD, reverence for classical antiquity was much greater in Europe and the United States than it is today. Respect for the ancients of Greece and Rome affected politics, philosophy, sculpture, literature, theatre, education, and even architecture and sexuality."
"Iron Age","https://en.wikipedia.org/wiki/Iron_Age","The earliest known iron artifacts are nine small beads, dated to 3200 BC, from burials in Gerzeh, Lower Egypt, identified as meteoric iron shaped by careful hammering.[1] Meteoric iron, a characteristic iron–nickel alloy, was used by various ancient peoples thousands of years before the Iron Age. Such iron, being in its native metallic state, required no smelting of ores.[2][3]"
"English","https://en.wikipedia.org/wiki/English_language","Dialectologists distinguish between English dialects, regional varieties that differ from each other in terms of grammar and vocabulary, and regional accents, distinguished by different patterns of pronunciation. The major native dialects of English are often divided by linguists into the two general categories of the British dialects (BrE) and those of North America (AmE).[232]"
"Age of Enlightenment","https://en.wikipedia.org/wiki/Age_of_Enlightenment","The word ""public"" implies the highest level of inclusivity – the public sphere by definition should be open to all. However, this sphere was only public to relative degrees. Enlightenment thinkers frequently contrasted their conception of the ""public"" with that of the people: Condorcet contrasted ""opinion"" with populace, Marmontel ""the opinion of men of letters"" with ""the opinion of the multitude,"" and d'Alembert the ""truly enlightened public"" with ""the blind and noisy multitude"".[123] Additionally, most institutions of the public sphere excluded both women and the lower classes.[124] Cross-class influences occurred through noble and lower class participation in areas such as the coffeehouses and the Masonic lodges."
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","The slumber of the Dark Ages was shaken by a renewed crisis in the Church. In 1054, the East–West Schism, an insoluble split, occurred between the two remaining Christian seats in Rome and Constantinople (modern Istanbul)."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","After the war, Prime Minister Billy Hughes led a new conservative force, the Nationalist Party, formed from the old Liberal party and breakaway elements of Labor (of which he was the most prominent), after the deep and bitter split over Conscription. An estimated 12,000 Australians died as a result of the Spanish flu pandemic of 1919, almost certainly brought home by returning soldiers.[261]"
"Biology","https://en.wikipedia.org/wiki/History_of_biology","Following Asilomar, new genetic engineering techniques and applications developed rapidly. DNA sequencing methods improved greatly (pioneered by Frederick Sanger and Walter Gilbert), as did oligonucleotide synthesis and transfection techniques.[83] Researchers learned to control the expression of transgenes, and were soon racing—in both academic and industrial contexts—to create organisms capable of expressing human genes for the production of human hormones. However, this was a more daunting task than molecular biologists had expected; developments between 1977 and 1980 showed that, due to the phenomena of split genes and splicing, higher organisms had a much more complex system of gene expression than the bacteria models of earlier studies.[84] The first such race, for synthesizing human insulin, was won by Genentech. This marked the beginning of the biotech boom (and with it, the era of gene patents), with an unprecedented level of overlap between biology, industry, and law.[85]"
"Agriculture","https://en.wikipedia.org/wiki/History_of_agriculture","The Middle Ages saw further improvements in agriculture. Monasteries spread throughout Europe and became important centers for the collection of knowledge related to agriculture and forestry. The manorial system allowed large landowners to control their land and its laborers, in the form of peasants or serfs.[89] During the medieval period, the Arab world was critical in the exchange of crops and technology between the European, Asia and African continents. Besides transporting numerous crops, they introduced the concept of summer irrigation to Europe and developed the beginnings of the plantation system of sugarcane growing through the use of slaves for intensive cultivation.[90]"
"Sport","https://en.wikipedia.org/wiki/History_of_sport","The traditional teams sports are seen as springing primarily from Britain, and subsequently exported across the vast British Empire. This can be seen as either discounting some of the ancient games of cooperation from Asia (e.g. polo, numerous martial arts forms, and various, now assimilated football varieties) and even from the Americas (e.g. lacrosse), or as the suggestion that while these sports did exist modern team sports did not directly derive from them. European colonialism certainly helped spread particular games around the world, especially cricket (not related to baseball), football of various sorts, bowling in a number of forms, cue sports (like snooker, carom billiards and pool), hockey and its derivatives, equestrian (originally of Middle Eastern origin), and tennis (and related games deriving from jeu de paume), and many winter sports. The originally Europe-dominated modern Olympic Games generally also ensured standardization in particularly European, especially British, directions when rules for similar games around the world were merged.[20] Regardless of game origins, the Industrial Revolution and mass production brought increased leisure which allowed more time to engage in playing or observing (and gambling upon) spectator sports, as well as less elitism in and greater accessibility of sports of many kinds. With the advent of mass media and global communication, professionalism became prevalent in sports, and this furthered sports popularity in general. With the increasing values placed on those who won also came the increased desire to cheat. Some of the most common ways of cheating today involve the use of performance-enhancing drugs such as steroids. The use of these drugs has always been frowned on but in recent history there have also been agencies set up to monitor professional athletes and ensure fair play in the sport."
"History of India","https://en.wikipedia.org/wiki/History_of_India","Late in 1946, the Labour government decided to end British rule of India, and in early 1947 Britain announced its intention of transferring power no later than June 1948 and participating in the formation of an interim government."
"Medicine","https://en.wikipedia.org/wiki/History_of_medicine","The World Health Organization was founded in 1948 as a United Nations agency to improve global health. In most of the world, life expectancy has improved since then, and was about 67 years as of 2010, and well above 80 years in some countries. Eradication of infectious diseases is an international effort, and several new vaccines have been developed during the post-war years, against infections such as measles, mumps, several strains of influenza and human papilloma virus. The long-known vaccine against Smallpox finally eradicated the disease in the 1970s, and Rinderpest was wiped out in 2011. Eradication of polio is underway. Tissue culture is important for development of vaccines. Though the early success of antiviral vaccines and antibacterial drugs, antiviral drugs were not introduced until the 1970s. Through the WHO, the international community has developed a response protocol against epidemics, displayed during the SARS epidemic in 2003, the Influenza A virus subtype H5N1 from 2004, the Ebola virus epidemic in West Africa and onwards."
"Historiography","https://en.wikipedia.org/wiki/Historiography_of_science","Though modern scholars do not usually share Sarton's motivations — Sarton saw the history of science as the only genuine example of human progress — the tools he left to the field, the journal Isis and the annual volume Osiris (both still in print today), provided the foundation of the discipline in the United States."
"Architecture","https://en.wikipedia.org/wiki/History_of_architecture","The Renaissance often refers to the Italian Renaissance that began in the 14th century, but recent research has revealed the existence of similar movements around Europe before the 15th century; consequently, the term ""Early Modern"" has gained popularity in describing this cultural movement. This period of cultural rebirth is often credited with the restoration of scholarship in the Classical Antiquities and the absorption of new scientific and philosophical knowledge that fed the arts."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","Very little of the divided area had actually been seen by Europeans, as it was only divided by a geographical definition rather than control on the ground. Columbus's first voyage in 1492 spurred maritime exploration and, from 1497, a number of explorers headed west."
"Software engineering","https://en.wikipedia.org/wiki/History_of_software_engineering","Debate about silver bullets raged over the following decade. Advocates for Ada, components, and processes continued arguing for years that their favorite technology would be a silver bullet. Skeptics disagreed. Eventually, almost everyone accepted that no silver bullet would ever be found. Yet, claims about silver bullets pop up now and again, even today.[citation needed]"
"Computing","https://en.wikipedia.org/wiki/History_of_computing","In the 3rd century BC, Archimedes used the mechanical principle of balance (see Archimedes Palimpsest#Mathematical content) to calculate mathematical problems, such as the number of grains of sand in the universe (The sand reckoner), which also required a recursive notation for numbers (e.g., the myriad myriad)."
"Transport","https://en.wikipedia.org/wiki/History_of_transport","Maritime history also deals with the development of navigation, oceanography, cartography and hydrography."
"Computer science","https://en.wikipedia.org/wiki/History_of_computer_science","The first actual computer bug was a moth. It was stuck in between the relays on the Harvard Mark II.[17] While the invention of the term 'bug' is often but erroneously attributed to Grace Hopper, a future rear admiral in the U.S. Navy, who supposedly logged the ""bug"" on September 9, 1945, most other accounts conflict at least with these details. According to these accounts, the actual date was September 9, 1947 when operators filed this 'incident' — along with the insect and the notation ""First actual case of bug being found"" (see software bug for details).[17]"
"Political science","https://en.wikipedia.org/wiki/History_of_political_science","During the Italian Renaissance, Niccolò Machiavelli established the emphasis of modern political science on direct empirical observation of political institutions and actors. Machiavelli was also a realist, arguing that even evil means should be considered if they help to create and preserve a desired regime. Machiavelli therefore also argues against the use of idealistic models in politics, and has been described as the father of the ""politics model"" of political science.[3] Later, the expansion of the scientific paradigm during the Enlightenment further pushed the study of politics beyond normative determinations."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","But a few months later, a Royal commission made sweeping changes to the administration of Victoria's goldfields. Its recommendations included the abolition of the licence, reforms to the police force and voting rights for miners holding a Miner's Right.[189] The Eureka Flag that was used to represent the Ballarat miners has been seriously considered by some as an alternative to the Australian flag, because of its controversial association with democratic developments."
"Transport","https://en.wikipedia.org/wiki/History_of_transport","In the stone ages primitive boats developed to permit navigation of rivers and for fishing in rivers and off the coast. It has been argued that boats suitable for a significant sea crossing were necessary for people to reach Australia an estimated 40,000-45,000 years ago. With the development of civilization, vessels evolved for expansion and generally grew in size for trade and war. In the Mediterranean, galleys were developed about 3000 BC. Polynesian double-hulled sailing vessels[1] with advanced rigging were used between 1,300 BC and 900 BC by the Polynesian progeny of the Lapita culture to expand 6,000 km across open ocean from the Bismarck Archipelago east to Micronesia and, eventually Hawaii. Galleys were eventually rendered obsolete by ocean-going sailing ships, such as the Arabic caravel in the 13th century, the Chinese treasure ship in the early 15th century, and the Mediterranean man-of-war in the late 15th century. In the Industrial Revolution, the first steamboats and later diesel-powered ships were developed. Eventually submarines were developed mainly for military purposes for people's general benefit."
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","When Emperor Constantine had reconquered Rome under the banner of the cross in 312, he soon afterwards issued the Edict of Milan in 313, declaring the legality of Christianity in the Roman Empire. In addition, Constantine officially shifted the capital of the Roman Empire from Rome to the Greek town of Byzantium, which he renamed Nova Roma- it was later named Constantinople (""City of Constantine"")."
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","The protoscience of chemistry, alchemy, was unsuccessful in explaining the nature of matter and its transformations. However, by performing experiments and recording the results, alchemists set the stage for modern chemistry. The distinction began to emerge when a clear differentiation was made between chemistry and alchemy by Robert Boyle in his work The Sceptical Chymist (1661). While both alchemy and chemistry are concerned with matter and its transformations, chemists are seen as applying scientific method to their work."
"History of China","https://en.wikipedia.org/wiki/History_of_China","In late Tang period, there were ineffective and corrupt rulers and officials in the imperial court allowing regional warlords to trigger widespread revolts. The most catastrophic was the Huang Chao Rebellion, from 874 to 884, which affected the entire empire for a decade. The sack of the southern port Guangzhou in 879 was followed by the massacre of most of its inhabitants, along with the large foreign merchant enclaves.[37][38] By 881, both capitals, Luoyang and Chang'an, fell successively. The reliance on ethnic Han and Turkic warlords in suppressing the rebellion increased their power and influence. Consequently, the fall of the dynasty following Zhu Wen's usurpation led to an era of fragmentation."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","King John II of Portugal was not pleased with the arrangement, feeling that it gave him far too little land—preventing him from reaching India, his main goal. He then negotiated directly with King Ferdinand and Queen Isabella of Spain to move the line west, and allowing him to claim newly discovered lands east of it.[64]"
"Painting","https://en.wikipedia.org/wiki/History_of_painting","During the 1960s and 1970s artists such as Robert Motherwell, Adolph Gottlieb, Phillip Guston, Lee Krasner, Cy Twombly, Robert Rauschenberg, Jasper Johns, Richard Diebenkorn, Josef Albers, Elmer Bischoff, Agnes Martin, Al Held, Sam Francis, Ellsworth Kelly, Morris Louis, Helen Frankenthaler, Gene Davis, Frank Stella, Kenneth Noland, Joan Mitchell, Friedel Dzubas, and younger artists like Brice Marden, Robert Mangold, Sam Gilliam,[80] John Hoyland, Sean Scully, Pat Steir, Elizabeth Murray, Larry Poons, Walter Darby Bannard, Larry Zox, Ronnie Landfield, Ronald Davis, Dan Christensen, Joan Snyder, Ross Bleckner, Archie Rand, Susan Crile, and dozens of others produced a wide variety of paintings."
"History of China","https://en.wikipedia.org/wiki/History_of_China","The Sui dynasty, which lasted 29 years and witnessed the reigns of three emperors, played a role more important than its length of existence would suggest. The Sui reunited China together again under the leadership of Emperor Wen of Sui and set up many institutions that were to be adopted by their successors, the Tang. These included the government system of Three Departments and Six Ministries, standard coinage, improved defense and expansion of the Great Wall, and official support for Buddhism."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","The war came closer to home when HMAS Sydney was lost with all hands in battle with the German raider Kormoran in November 1941."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","During the course of the Korean War, the Liberal Government attempted to ban the Communist Party of Australia, first by legislation in 1950 and later by referendum, in 1951.[337] While both attempts were unsuccessful, further international events such as the defection of minor Soviet Embassy official Vladimir Petrov, added to a sense of impending threat that politically favoured Menzies' Liberal-CP government, as the Labor Party split over concerns about the influence of the Communist Party over the trade union movement. The tensions led to another bitter split and the emergence of the breakaway Democratic Labor Party (DLP). The DLP remained an influential political force, often holding the balance of power in the Senate, until 1974. Its preferences supported the Liberal and Country Party.[338] The Labor party was led by H.V. Evatt after Chifley's death in 1951. Evatt had served as President of the United Nations General Assembly during 1948–49 and helped draft the United Nations Universal Declaration of Human Rights (1948). Evatt retired in 1960 amid signs of mental ill-health, and Arthur Calwell succeeded him as leader, with a young Gough Whitlam as his deputy.[339]"
"Psychology","https://en.wikipedia.org/wiki/History_of_psychology","Soon, experimental psychology laboratories were opened at the University of Pennsylvania (in 1887, by James McKeen Cattell), Indiana University (1888, William Lowe Bryan), the University of Wisconsin (1888, Joseph Jastrow), Clark University (1889, Edmund Sanford), the McLean Asylum (1889, William Noyes), and the University of Nebraska (1889, Harry Kirke Wolfe). However, it was Princeton University's Eno Hall, built in 1924, that became the first university building in the United States to be devoted entirely to experimental psychology when it became the home of the university's Department of Psychology.[28]"
"Military technology","https://en.wikipedia.org/wiki/Military_technology","By the end of the 1960s, both countries regularly deployed satellites. Spy satellites were used by militaries to take accurate pictures of their rivals' military installations. As time passed the resolution and accuracy of orbital reconnaissance alarmed both sides of the iron curtain. Both the United States and the Soviet Union began to develop anti-satellite weapons to blind or destroy each other's satellites. Laser weapons, kamikaze style satellites, as well as orbital nuclear explosion were researched with varying levels of success. Spy satellites were, and continue to be, used to monitor the dismantling of military assets in accordance with arms control treaties signed between the two superpowers. To use spy satellites in such a manner is often referred to in treaties as ""national technical means of verification""."
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","After Dalton published his atomic theory in 1808, certain of his central ideas were soon adopted by most chemists. However, uncertainty persisted for half a century about how atomic theory was to be configured and applied to concrete situations; chemists in different countries developed several different incompatible atomistic systems. A paper that suggested a way out of this difficult situation was published as early as 1811 by the Italian physicist Amedeo Avogadro (1776-1856), who hypothesized that equal volumes of gases at the same temperature and pressure contain equal numbers of molecules, from which it followed that relative molecular weights of any two gases are the same as the ratio of the densities of the two gases under the same conditions of temperature and pressure. Avogadro also reasoned that simple gases were not formed of solitary atoms but were instead compound molecules of two or more atoms. Thus Avogadro was able to overcome the difficulty that Dalton and others had encountered when Gay-Lussac reported that above 100 °C the volume of water vapor was twice the volume of the oxygen used to form it. According to Avogadro, the molecule of oxygen had split into two atoms in the course of forming water vapor."
"History of India","https://en.wikipedia.org/wiki/History_of_India","The first step toward Indian self-rule was the appointment of councillors to advise the British viceroy in 1861 and the first Indian was appointed in 1909. Provincial Councils with Indian members were also set up. The councillors' participation was subsequently widened into legislative councils. The British built a large British Indian Army, with the senior officers all British and many of the troops from small minority groups such as Gurkhas from Nepal and Sikhs.[373] The civil service was increasingly filled with natives at the lower levels, with the British holding the more senior positions.[374]"
"Film","https://en.wikipedia.org/wiki/History_of_film","With the worldwide film boom, yet more countries now joined Britain, France, Germany and the United States in serious film production. In Italy, production was spread over several centres, with Turin being the first and biggest. There, Ambrosio was the first company in the field in 1905, and remained the largest in the country through this period. Its most substantial rival was Cines in Rome, which started producing in 1906. The great strength of the Italian industry was historical epics, with large casts and massive scenery. As early as 1911, Giovanni Pastrone's two-reel La Caduta di Troia (The Fall of Troy) made a big impression worldwide, and it was followed by even bigger spectacles like Quo Vadis? (1912), which ran for 90 minutes, and Pastrone's Cabiria of 1914, which ran for two and a half hours."
"Ancient Egypt","https://en.wikipedia.org/wiki/Ancient_Egypt","The diets of the wealthy were rich in sugars, which promoted periodontal disease.[186] Despite the flattering physiques portrayed on tomb walls, the overweight mummies of many of the upper class show the effects of a life of overindulgence.[187] Adult life expectancy was about 35 for men and 30 for women, but reaching adulthood was difficult as about one-third of the population died in infancy.[188]"
"Middle Ages","https://en.wikipedia.org/wiki/Middle_Ages","By the end of the 5th century the western section of the empire was divided into smaller political units, ruled by the tribes that had invaded in the early part of the century.[39] The deposition of the last emperor of the west, Romulus Augustulus, in 476 has traditionally marked the end of the Western Roman Empire.[12][E] By 493 the Italian peninsula was conquered by the Ostrogoths.[40] The Eastern Roman Empire, often referred to as the Byzantine Empire after the fall of its western counterpart, had little ability to assert control over the lost western territories. The Byzantine emperors maintained a claim over the territory, but while none of the new kings in the west dared to elevate himself to the position of emperor of the west, Byzantine control of most of the Western Empire could not be sustained; the reconquest of the Mediterranean periphery and the Italian Peninsula (Gothic War) in the reign of Justinian (r. 527–565) was the sole, and temporary, exception.[41]"
"Dance","https://en.wikipedia.org/wiki/History_of_dance","One of the earliest structured uses of dances may have been in the performance and in the telling of myths. It was also sometimes used to show feelings for one of the opposite gender. It is also linked to the origin of ""love making."" Before the production of written languages, dance was one of the methods of passing these stories down from generation to generation.[6]"
"Africa","https://en.wikipedia.org/wiki/History_of_Africa","In 642 CE, the Rashidun Caliphate conquered Byzantine Egypt.[107]"
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The spinning frame or water frame was developed by Richard Arkwright who, along with two partners, patented it in 1769. The design was partly based on a spinning machine built for Thomas High by clockmaker John Kay, who was hired by Arkwright.[30]:827–30 For each spindle, the water frame used a series of four pairs of rollers, each operating at a successively higher rotating speed, to draw out the fibre, which was then twisted by the spindle. The roller spacing was slightly longer than the fibre length. Too close a spacing caused the fibres to break while too distant a spacing caused uneven thread. The top rollers were leather-covered and loading on the rollers was applied by a weight. The weights kept the twist from backing up before the rollers. The bottom rollers were wood and metal, with fluting along the length. The water frame was able to produce a hard, medium count thread suitable for warp, finally allowing 100% cotton cloth to be made in Britain. A horse powered the first factory to use the spinning frame. Arkwright and his partners used water power at a factory in Cromford, Derbyshire in 1771, giving the invention its name."
"Electrical engineering","https://en.wikipedia.org/wiki/History_of_electrical_engineering","Electricity would remain little more than an intellectual curiosity for millennia. In 1600, the English scientist, William Gilbert extended the study of Cardano on electricity and magnetism, distinguishing the lodestone effect from static electricity produced by rubbing amber.[3] He coined the New Latin word electricus (""of amber"" or ""like amber"", from ήλεκτρον [elektron], the Greek word for ""amber"") to refer to the property of attracting small objects after being rubbed.[4] This association gave rise to the English words ""electric"" and ""electricity"", which made their first appearance in print in Thomas Browne's Pseudodoxia Epidemica of 1646.[5]"
"Ancient history","https://en.wikipedia.org/wiki/Ancient_history","However, a number of factors led to the eventual decline of the Roman Empire. The western half of the empire, including Hispania, Gaul, and Italy, eventually broke into independent kingdoms in the 5th century; the Eastern Roman Empire, governed from Constantinople, is referred to as the Byzantine Empire after AD 476, the traditional date for the ""fall of Rome"" and subsequent onset of the Middle Ages."
"Money","https://en.wikipedia.org/wiki/History_of_money","Aristotle's opinion of the creation of money[4] as a new thing in society is:"
"Film","https://en.wikipedia.org/wiki/History_of_film","At the start of the First World War, French and Italian cinema had been the most globally popular. The war came as a devastating interruption to European film industries. The American industry, or ""Hollywood"", as it was becoming known after its new geographical center in California, gained the position it has held, more or less, ever since: film factory for the world and exporting its product to most countries on earth."
"English","https://en.wikipedia.org/wiki/English_language","Most English dialects share the same 24 consonant phonemes. The consonant inventory shown below is valid for Californian American English,[138] and for RP.[139]"
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","As the conference's decisions were enacted unilaterally, and largely on the whims of the Big Four, for its duration Paris was effectively the center of a world government, which deliberated over and implemented the sweeping changes to the political geography of Europe. Most famously, the Treaty of Versailles itself weakened Germany's military and placed full blame for the war and costly reparations on its shoulders – the humiliation and resentment in Germany is sometimes considered as one of the causes of Nazi success and indirectly a cause of World War II."
"Music","https://en.wikipedia.org/wiki/History_of_music","Instrumental music became dominant in the Baroque, and most major music forms were defined. Counterpoint was one of the major forces in both the instrumental and the vocal music of the period. Although a strong religious musical tradition continued, secular music came to the fore with the development of the sonata, the concerto, and the concerto grosso."
"Materials science","https://en.wikipedia.org/wiki/History_of_materials_science","Wood, bone, stone, and earth are some of the materials which formed the structures of the Roman empire. Certain structures were made possible by the character of the land upon which these structures are built; a volcanic peninsula with stone aggregates and conglomerates containing crystalline material, will produce material which weathers differently from soft, sedimentary rock and silt. That is one of the reasons that the concrete Pantheon of Rome could last for 1850 years. And why the thatched farmhouses of Holland sketched by Rembrandt have long since decayed."
"Economics","https://en.wikipedia.org/wiki/History_of_economic_thought","In 1605 Flemish Jesuit theologian Leonardus Lessius (1554–1623) published On Justice and Law, the deepest moral-theological study of economics since Aquinas, whose just price approach he claimed was no longer workable. After comparing money's growth via avarice to the propagation of hares, he made the first statement of the price of insurance as being based on risk."
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","In 1903, Mikhail Tsvet invented chromatography, an important analytic technique. In 1904, Hantaro Nagaoka proposed an early nuclear model of the atom, where electrons orbit a dense massive nucleus. In 1905, Fritz Haber and Carl Bosch developed the Haber process for making ammonia, a milestone in industrial chemistry with deep consequences in agriculture. The Haber process, or Haber-Bosch process, combined nitrogen and hydrogen to form ammonia in industrial quantities for production of fertilizer and munitions. The food production for half the world's current population depends on this method for producing fertilizer. Haber, along with Max Born, proposed the Born–Haber cycle as a method for evaluating the lattice energy of an ionic solid. Haber has also been described as the ""father of chemical warfare"" for his work developing and deploying chlorine and other poisonous gases during World War I."
"Money","https://en.wikipedia.org/wiki/History_of_money","There are various social theories concerning gift economies. Some consider the gifts to be a form of reciprocal altruism. Another interpretation is that implicit ""I owe you"" debt[8] and social status are awarded in return for the ""gifts"".[9] Consider for example, the sharing of food in some hunter-gatherer societies, where food-sharing is a safeguard against the failure of any individual's daily foraging. This custom may reflect altruism, it may be a form of informal insurance, or may bring with it social status or other benefits."
"Theatre","https://en.wikipedia.org/wiki/History_of_theatre","In Britain, Percy Bysshe Shelley and Lord Byron were the most important dramatists of their time (although Shelley's plays were not performed until later in the century). In the minor theatres, burletta and melodrama were the most popular. Kotzebue's plays were translated into English and Thomas Holcroft's A Tale of Mystery was the first of many English melodramas. Pierce Egan, Douglas William Jerrold, Edward Fitzball, and John Baldwin Buckstone initiated a trend towards more contemporary and rural stories in preference to the usual historical or fantastical melodramas. James Sheridan Knowles and Edward Bulwer-Lytton established a ""gentlemanly"" drama that began to re-establish the former prestige of the theatre with the aristocracy.[73]"
"History of India","https://en.wikipedia.org/wiki/History_of_India","The Chalukya Empire (Kannada: ಚಾಲುಕ್ಯರು [tʃaːɭukjə]) was an Indian royal dynasty that ruled large parts of southern and central India between the 6th and the 12th centuries. During this period, they ruled as three related yet individual dynasties. The earliest dynasty, known as the ""Badami Chalukyas"", ruled from Vatapi (modern Badami) from the middle of the 6th century. The Badami Chalukyas began to assert their independence at the decline of the Kadamba kingdom of Banavasi and rapidly rose to prominence during the reign of Pulakeshin II. The rule of the Chalukyas marks an important milestone in the history of South India and a golden age in the history of Karnataka. The political atmosphere in South India shifted from smaller kingdoms to large empires with the ascendancy of Badami Chalukyas. A Southern India-based kingdom took control and consolidated the entire region between the Kaveri and the Narmada rivers. The rise of this empire saw the birth of efficient administration, overseas trade and commerce and the development of new style of architecture called ""Chalukyan architecture"". The Chalukya dynasty ruled parts of southern and central India from Badami in Karnataka between 550 and 750, and then again from Kalyani between 970 and 1190."
"Information Age","https://en.wikipedia.org/wiki/Information_Age","Industry is becoming more information-intensive and less labor and capital-intensive (see Information industry). This trend has important implications for the workforce; workers are becoming increasingly productive as the value of their labor decreases. However, there are also important implications for capitalism itself; not only is the value of labor decreased, the value of capital is also diminished. In the classical model, investments in human capital and financial capital are important predictors of the performance of a new venture.[16] However, as demonstrated by Mark Zuckerberg and Facebook, it now seems possible for a group of relatively inexperienced people with limited capital to succeed on a large scale.[17]"
"Ancient Egypt","https://en.wikipedia.org/wiki/Ancient_Egypt","In the mid-ninth century BC, Egypt made a failed attempt to once more gain a foothold in Western Asia. Osorkon II of Egypt, along with a large alliance of nations and peoples, including Persia, Israel, Hamath, Phoenicia/Canaan, the Arabs, Arameans, and neo Hittites among others, engaged in the Battle of Karkar against the powerful Assyrian king Shalmaneser III in 853 BC. However, this coalition of powers failed and the Neo Assyrian Empire continued to dominate Western Asia."
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The famines that troubled rural areas did not happen in industrial areas. But urban people—especially small children—died due to diseases spreading through the cramped living conditions. Tuberculosis (spread in congested dwellings), lung diseases from the mines, cholera from polluted water and typhoid were also common."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","A prelude to the Age of Discovery was a series of European expeditions crossing Eurasia by land in the late Middle Ages.[17] Although the Mongols had threatened Europe with pillage and destruction,[clarification needed] Mongol states also unified much of Eurasia and, from 1206 on, the Pax Mongolica allowed safe trade routes and communication lines stretching from the Middle East to China.[18][19] A series of Europeans took advantage of these to explore eastwards. Most were Italians, as trade between Europe and the Middle East was controlled mainly by the Maritime republics.[citation needed] The close Italian links to the Levant raised great curiosity and commercial interest in countries which lay further east.[citation needed]"
