link,link-href,text,1
Geography,https://en.wikipedia.org/wiki/History_of_geography,"In 1877, Thomas Henry Huxley publish his Physiography with the philosophy of universality present as an integrated approach in the study of the natural environment. The philosophy of universality in geography be not a new one but can be see as evolve from the works of Alexander von Humboldt and Immanuel Kant. The publication of Huxley physiography present a new form of geography that analyse and classify cause and effect at the micro-level and then apply these to the macro-scale( due to the view that the micro be part of the macro and thus an understanding of all the micro-scales be need to understand the macro level). This approach emphasize the empirical collection of data over the theoretical. The same approach be also use by Halford John Mackinder in 1887. However, the integration of the Geosphere, Atmosphere and Biosphere under physiography be soon over take by Davisian geomorphology.",0
South America,https://en.wikipedia.org/wiki/History_of_South_America,"According to author Thomas M. Leonard, World War II had a major impact on Latin American economies. Following the December 7, 1941 Japanese attack on Pearl Harbor, most of Latin America either severed relations with the Axis powers or declared war on them. As a result, many nations (including all of Central America, the Dominican Republic, Mexico, Chile, Peru, Argentina, and Venezuela) suddenly found that they were now dependent on the United States for trade. The United States' high demand for particular products and commodities during the war further distorted trade. For example, the United States wanted all of the platinum produced in Colombia, all of Chile's copper, and all of Peru's cotton. The parties agreed upon set prices, often with a high premium, but the various nations lost their ability to bargain and trade in the open market.",1
Anthropology,https://en.wikipedia.org/wiki/History_of_anthropology,"Drawing on the methods of the natural sciences as well as developing new techniques involving not only structured interviews but unstructured ""participant-observation"" – and drawing on the new theory of evolution through natural selection, they proposed the scientific study of a new object: ""humankind,"" conceived of as a whole. Crucial to this study is the concept ""culture,"" which anthropologists defined both as a universal capacity and propensity for social learning, thinking, and acting (which they see as a product of human evolution and something that distinguishes Homo sapiens – and perhaps all species of genus Homo – from other species), and as a particular adaptation to local conditions that takes the form of highly variable beliefs and practices. Thus, ""culture"" not only transcends the opposition between nature and nurture; it transcends and absorbs the peculiarly European distinction between politics, religion, kinship, and the economy as autonomous domains. Anthropology thus transcends the divisions between the natural sciences, social sciences, and humanities to explore the biological, linguistic, material, and symbolic dimensions of humankind in all forms.",1
Ancient Egypt,https://en.wikipedia.org/wiki/Ancient_Egypt,"The success of ancient Egyptian civilization come partly from its ability to adapt to the conditions of the Nile River valley for agriculture. The predictable flooding and controlled irrigation of the fertile valley produce surplus crops, which support a more dense population, and social development and culture. With resources to spare, the administration sponsor mineral exploitation of the valley and surround desert regions, the early development of an independent writing system, the organization of collective construction and agricultural projects, trade with surround regions, and a military intend to defeat foreign enemies and assert Egyptian dominance. Motivating and organize these activities be a bureaucracy of elite scribes, religious leaders, and administrators under the control of a pharaoh, who ensure the cooperation and unity of the Egyptian people in the context of an elaborate system of religious beliefs.[ 4][ 5]",0
Europe,https://en.wikipedia.org/wiki/History_of_Europe,"Frederick the Great, king of Prussia 1740–86, modernize the Prussian army, introduce new tactical and strategic concepts, fight mostly successful wars and double the size of Prussia. Frederick have a rationale base on Enlightenment thought: he fight total wars for limited objectives. The goal be to convince rival kings that it be better to negotiate and make peace than to fight him.[ 58][ 59]",0
Film,https://en.wikipedia.org/wiki/History_of_film,"Further, the nuclear paranoia of the age, and the threat of an apocalyptic nuclear exchange( like the 1962 close-call with the USSR during the Cuban missile crisis) prompt a reaction within the film community as well. Films like Stanley Kubrick's Dr. Strangelove and Fail Safe with Henry Fonda be produce in a Hollywood that be once know for its overt patriotism and wartime propaganda.",0
Modern history,https://en.wikipedia.org/wiki/Modern_history,"Society in the Japanese `` Tokugawa period''( Edo society), unlike the shogunates before it, be base on the strict class hierarchy originally establish by Toyotomi Hideyoshi. The daimyōs( feudal lords) be at the top, follow by the warrior-caste of samurai, with the farmers, artisans, and traders rank below. In some parts of the country, particularly smaller regions, daimyōs and samurai be more or less identical, since daimyōs might be train as samurai, and samurai might act as local lords. Otherwise, the largely inflexible nature of this social stratification system unleashed disruptive forces over time. Taxes on the peasantry be set at fixed amounts which do not account for inflation or other changes in monetary value. As a result, the tax revenues collect by the samurai landowners be worth less and less over time. This often lead to numerous confrontations between noble but impoverished samurai and well-to-do peasants, range from simple local disturbances to much bigger rebellions. None, however, prove compelling enough to seriously challenge the establish order until the arrival of foreign powers.",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"The colony of South Australia was settled in 1836, with its western and eastern boundaries set at 132° and 141° East of Greenwich, and to the north at latitude 26° South.[141] The western and eastern boundary points were chosen as they marked the extent of coastline first surveyed by Matthew Flinders in 1802 (Nicolas Baudin's priority being ignored). The northern boundary was set at the parallel of latitude 26° South by the British Parliament because that was considered to be the limit of effective control of territory that could be exercised by a settlement founded on the shores of Gulf St Vincent; the South Australian Company had proposed the parallel of 20° South, later reduced to the Tropic of Capricorn (the parallel of latitude 23° 37′ South).[142]",1
History of India,https://en.wikipedia.org/wiki/History_of_India,"The history of India includes the prehistoric settlements and societies in the Indian subcontinent; the advancement of civilisation from the Indus Valley Civilisation to the eventual blending of the Indo-Aryan culture to form the Vedic Civilisation;[1] the rise of Hinduism, Jainism and Buddhism;[2][3] the onset of a succession of powerful dynasties and empires for more than three millennia throughout various geographic areas of the subcontinent, including the growth of nomadic Central Asian Muslim dominions during the Medieval period intertwined with Hindu powers;[4][5] the advent of European traders resulting in the establishment of the British rule; and the subsequent independence movement that led to the Partition of India and the creation of the Republic of India.[6]",1
English,https://en.wikipedia.org/wiki/English_language,"Braj Kachru distinguish countries where English be speak with a three circles model.[ 64] In his model, the `` inner circle'' countries be countries with large communities of native speakers of English, `` outer circle'' countries have small communities of native speakers of English but widespread use of English as a second language in education or broadcasting or for local official purposes, and `` expand circle'' countries be countries where many learners learn English as a foreign language. Kachru base his model on the history of how English spread in different countries, how users acquire English, and the range of uses English have in each country. The three circles change membership over time.[ 65]",0
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"The target audience of natural history be French polite society, evidence more by the specific discourse of the genre than by the generally high prices of its works. Naturalists cater to polite society's desire for erudition – many texts have an explicit instructive purpose. However, natural history be often a political affair. As E. C. Spary write, the classifications use by naturalists `` slip between the natural world and the social ... to establish not only the expertise of the naturalists over the natural, but also the dominance of the natural over the social''.[ 155] The idea of taste( le goût) be a social indicator: to truly be able to categorize nature, one have to have the proper taste, an ability of discretion share by all members of polite society. In this way natural history spread many of the scientific developments of the time, but also provide a new source of legitimacy for the dominant class.[ 156] From this basis, naturalists could then develop their own social ideals base on their scientific works.[ 157]",0
History of China,https://en.wikipedia.org/wiki/History_of_China,"Early evidence for proto-Chinese millet agriculture is radiocarbon-dated to about 7000 BC.[11] The earliest evidence of cultivated rice, found by the Yangtze River, is carbon-dated to 8,000 years ago.[12] Farming gave rise to the Jiahu culture (7000 to 5800 BC). At Damaidi in Ningxia, 3,172 cliff carvings dating to 6000–5000 BC have been discovered, ""featuring 8,453 individual characters such as the sun, moon, stars, gods and scenes of hunting or grazing."" These pictographs are reputed to be similar to the earliest characters confirmed to be written Chinese.[13] Chinese proto-writing existed in Jiahu around 7000 BC,[14] Dadiwan from 5800 BC to 5400 BC, Damaidi around 6000 BC[15] and Banpo dating from the 5th millennium BC. Some scholars have suggested that Jiahu symbols (7th millennium BC) were the earliest Chinese writing system.[14] Excavation of a Peiligang culture site in Xinzheng county, Henan, found a community that flourished in 5,500 to 4,900 BC, with evidence of agriculture, constructed buildings, pottery, and burial of the dead.[16] With agriculture came increased population, the ability to store and redistribute crops, and the potential to support specialist craftsmen and administrators.[12] In late Neolithic times, the Yellow River valley began to establish itself as a center of Yangshao culture (5000 BC to 3000 BC), and the first villages were founded; the most archaeologically significant of these was found at Banpo, Xi'an.[17] Later, Yangshao culture was superseded by the Longshan culture, which was also centered on the Yellow River from about 3000 BC to 2000 BC.",1
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"By the mid-1960s, a new nationalism was emerging. The National Trust of Australia began to be active in preserving Australia's natural, cultural and historic heritage. Australian TV saw locally-made dramas and comedies appear, and programs such as Homicide developed strong local loyalty while Skippy the Bush Kangaroo became a global phenomenon. Liberal Prime Minister John Gorton, a battle scarred former fighter pilot who described himself as ""Australian to the bootheels"", established the Australian Council for the Arts, the Australian Film Development Corporation and the National Film and Television Training School.[384]",1
History of India,https://en.wikipedia.org/wiki/History_of_India,"The early 18th century saw the rise of Maratha suzerainty over the Indian Subcontinent. Under the Peshwas, the Maratha Empire consolidate and rule over much of the Subcontinent. The Marathas be credit to a large extent for end the Mughal rule in India.[ 315][ 316][ 317]",0
Chemical engineering,https://en.wikipedia.org/wiki/History_of_chemical_engineering,"The Industrial Revolution lead to an unprecedented escalation in demand, both with regard to quantity and quality, for bulk chemicals such as soda ash. This mean two things: one, the size of the activity and the efficiency of operation have to be enlarge, and two, serious alternatives to batch processing, such as continuous operation, have to be examine.",0
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"During the Great Depression, Keynes published his most important work, The General Theory of Employment, Interest and Money (1936). The Great Depression had been sparked by the Wall Street Crash of 1929, leading to massive rises in unemployment in the United States, leading to debts being recalled from European borrowers, and an economic domino effect across the world. Orthodox economics called for a tightening of spending, until business confidence and profit levels could be restored. Keynes by contrast, had argued in A Tract on Monetary Reform (1923) (which argues for a stable currency) that a variety of factors determined economic activity, and that it was not enough to wait for the long run market equilibrium to restore itself. As Keynes famously remarked:",1
Physics,https://en.wikipedia.org/wiki/History_of_physics,"Although they have never been seen, Higgslike fields play an important role in theories of the universe and in string theory. Under certain conditions, according to the strange accounting of Einsteinian physics, they can become suffused with energy that exerts an antigravitational force. Such fields have been proposed as the source of an enormous burst of expansion, known as inflation, early in the universe and, possibly, as the secret of the dark energy that now seems to be speeding up the expansion of the universe.[54]",1
Stone Age,https://en.wikipedia.org/wiki/Stone_Age,"Once seriously question, the intermediates do not wait for the next Pan African Congress two years hence, but be officially reject in 1965( again on an advisory basis) by Burg Wartenstein Conference# 29, Systematic Investigation of the African Later Tertiary and Quaternary,[ 21] a conference in anthropology hold by the Wenner-Gren Foundation, at Burg Wartenstein Castle, which it then own in Austria, attend by the same scholars that attend the Pan African Congress, include Louis Leakey and Mary Leakey, who be deliver a pilot presentation of her typological analysis of Early Stone Age tools, to be include in her 1971 contribution to Olduvai Gorge, `` Excavations in Beds I and II, 1960–1963. ``[ 22]",0
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"The Australian government estimate that anywhere between 15,000 and 20,000 people could have die in the Bougainville Civil War. More conservative estimates put the number of combat deaths as 1-2,000.[ 103]",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"With foreign debt, interest rates and unemployment still high, and after a series of ministerial resignations, Keating lose the 1996 Election to the Liberals' John Howard.[ 415]",0
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"In the early Empire, the pretense of a republican form of government was maintained. The Roman Emperor was portrayed as only a princeps, or ""first citizen"", and the Senate gained legislative power and all legal authority previously held by the popular assemblies. However, the rule of the Emperors became increasingly autocratic, and the Senate was reduced to an advisory body appointed by the Emperor. The Empire did not inherit a set bureaucracy from the Republic, since the Republic did not have any permanent governmental structures apart from the Senate. The Emperor appointed assistants and advisers, but the state lacked many institutions, such as a centrally planned budget. Some historians have cited this as a significant reason for the decline of the Roman Empire.",1
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"In the mid-18th century, Paris become the center of an explosion of philosophic and scientific activity challenge traditional doctrines and dogmas. The philosophic movement be lead by Voltaire and Jean-Jacques Rousseau, who argue for a society base upon reason rather than faith and Catholic doctrine, for a new civil order base on natural law, and for science base on experiments and observation. The political philosopher Montesquieu introduce the idea of a separation of powers in a government, a concept which be enthusiastically adopt by the authors of the United States Constitution. While the Philosophes of the French Enlightenment be not revolutionaries, and many be members of the nobility, their ideas play an important part in undermine the legitimacy of the Old Regime and shape the French Revolution.[ 15]",0
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"By approximately 3.3 million years ago, primitive stone tools were first used to scavenge kills made by other predators and to harvest carrion and marrow from their bones. In hunting, Homo habilis was probably not capable of competing with large predators and was still more prey than hunter. H. habilis probably did steal eggs from nests and may have been able to catch small game and weakened larger prey (cubs and older animals). The tools were classed as Oldowan.[6]",1
Painting,https://en.wikipedia.org/wiki/History_of_painting,"In the late 1970s and early 1980s, there be also a return to paint that occur almost simultaneously in Italy, Germany, France and Britain. These movements be call Transavantguardia, Neue Wilde, Figuration Libre,[ 81] Neo-expressionism, the school of London, and in the late 1980s the Stuckists respectively. These paint be characterize by large formats, free expressive mark making, figuration, myth and imagination. All work in this genre come to be label neo-expressionism. Critical reaction be divide. Some critics regard it as drive by profit motivations by large commercial galleries. This type of art continue in popularity into the 21st century, even after the art crash of the late 1980s. Anselm Kiefer be a leading figure in European Neo-expressionism by the 1980s,( see To the Unknown Painter 1983, in the gallery above) Kiefer's themes widen from a focus on Germany's role in civilization to the fate of art and culture in general. His work become more sculptural and involve not only national identity and collective memory, but also occult symbolism, theology and mysticism. The theme of all the work be the trauma experience by entire societies, and the continual rebirth and renewal in life.",0
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"Despite initial hostilities, by 1549 the Portuguese were sending annual trade missions to Shangchuan Island in China. In 1557 they managed to convince the Ming court to agree on a legal port treaty that would establish Macau as an official Portuguese trade colony.[155] The Portuguese friar Gaspar da Cruz (c. 1520 February 5, 1570) wrote the first complete book on China and the Ming Dynasty that was published in Europe; it included information on its geography, provinces, royalty, official class, bureaucracy, shipping, architecture, farming, craftsmanship, merchant affairs, clothing, religious and social customs, music and instruments, writing, education, and justice.[156]",1
History of India,https://en.wikipedia.org/wiki/History_of_India,"Many smaller clans mentioned within early literature seem to have been present across the rest of the subcontinent. Some of these kings were hereditary; other states elected their rulers. Early ""republics"" such as the Vajji (or Vriji) confederation centred in the city of Vaishali, existed as early as the 6th century BCE and persisted in some areas until the 4th century CE. The educated speech at that time was Sanskrit, while the languages of the general population of northern India are referred to as Prakrits. Many of the sixteen kingdoms had coalesced to four major ones by 500/400 BCE, by the time of Gautama Buddha. These four were Vatsa, Avanti, Kosala, and Magadha. The life of Gautama Buddha was mainly associated with these four kingdoms.[111]",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"The interwar period was also marked by a radical change in the international order, away from the balance of power that had dominated pre–World War I Europe. One main institution that was meant to bring stability was the League of Nations, which was created after the First World War with the intention of maintaining world security and peace and encouraging economic growth between member countries. The League was undermined by the bellicosity of Nazi Germany, Imperial Japan, the Soviet Union, and Mussolini's Italy, and by the non-participation of the United States, leading many to question its effectiveness and legitimacy.",1
Theories/sociology,https://en.wikipedia.org/wiki/Sociology_of_the_history_of_science,,1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"Working people also formed friendly societies and co-operative societies as mutual support groups against times of economic hardship. Enlightened industrialists, such as Robert Owen also supported these organisations to improve the conditions of the working class.",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"The Bourbon Restoration followed the ousting of Napoleon I of France in 1814. The Allies restored the Bourbon Dynasty to the French throne. The ensuing period is called the Restoration, following French usage, and is characterized by a sharp conservative reaction and the re-establishment of the Roman Catholic Church as a power in French politics. The July Monarchy was a period of liberal constitutional monarchy in France under King Louis-Philippe starting with the July Revolution (or Three Glorious Days) of 1830 and ending with the Revolution of 1848. The Second Empire was the Imperial Bonapartist regime of Napoleon III from 1852 to 1870, between the Second Republic and the Third Republic, in France.",1
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"East Timor declared independence from Portugal in 1975, but was invaded by Indonesia, before it was granted full independence in 2002.",1
Mathematics,https://en.wikipedia.org/wiki/History_of_mathematics,"Finally, the Berlin Papyrus 6619 (c. 1800 BC) shows that ancient Egyptians could solve a second-order algebraic equation.[33]",1
Electrical engineering,https://en.wikipedia.org/wiki/History_of_electrical_engineering,"An object found in Iraq in 1938, dated to about 250 B.C.E. and called the Baghdad Battery, resembles a galvanic cell and is believed by some to have been used for electroplating in Mesopotamia, although this has not yet been proven.",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"General Orestes refused to meet the demands of the barbarian ""allies"" who now formed the army, and tried to expel them from Italy. Unhappy with this, their chieftain Odoacer defeated and killed Orestes, invaded Ravenna and dethroned Romulus Augustus, son of Orestes. This event of 476, usually marks the end of Classical antiquity and beginning of the Middle Ages.[142][143]",1
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"By 1788, the population exist as 250 individual nations, many of which be in alliance with one another, and within each nation there exist several clans, from as few as five or six to as many as 30 or 40. Each nation have its own language and a few have multiple, thus over 250 languages exist, around 200 of which be now extinct. `` Intricate kinship rules order the social relations of the people and diplomatic messengers and meet rituals smooth relations between groups'', keep group fighting, sorcery and domestic disputes to a minimum.[ 32]",0
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,"Medieval philosophy of mind is based on Aristotle's De Anima, another work discovered in the Latin West in the twelfth century. It was regarded as a branch of the philosophy of nature. Some of the topics discussed in this area include:",1
Dark Ages (historiography),https://en.wikipedia.org/wiki/Dark_Ages_(historiography),"There be a sharp drop from 33 volumes in the 9th century to just 7 in the 10th. The 11th century, with 12, evidence a certain recovery, and the 12th century, with 39, surpass the 9th, something the 13th, with just 25, fails to do. There be indeed a'dark age', in Baronius's sense of a `` lack of writers'', between the Carolingian Renaissance in the 9th century and the beginnings, some time in the 11th, of what have be call the Renaissance of the 12th century. Furthermore, there be an earlier period of `` lack of writers'' during the 7th and 8th centuries. So, in Western Europe, two'dark ages' can be identify, separate by the brilliant but brief Carolingian Renaissance.",0
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Morocco found its venture unprofitable. The gold trade had been diverted to Europeans on the coast. Most of the trans-Saharan trade was now diverted east to Bornu. Expensive equipment purchased with gold had to be sent across the Sahara, an unsustainable scenario. The Moroccans who remained married into the population and were referred to as Arma or Ruma. They established themselves at Timbuktu as a military caste with various fiefs, independent from Morocco. Amid the chaos, other groups began to assert themselves, including the Fulani of Futa Tooro who encroached from the west. The Bambara Empire, one of the states that broke from Songhai, sacked Gao. In 1737, the Tuareg massacred the Arma.[66][178]",1
Anthropology,https://en.wikipedia.org/wiki/History_of_anthropology,"Other influential writers in the 1970s include Pierre Clastres, who explains in his books on the Guayaki tribe in Paraguay that ""primitive societies"" actively oppose the institution of the state. These stateless societies are not less evolved than societies with states, but chose to conjure the institution of authority as a separate function from society. The leader is only a spokesperson for the group when it has to deal with other groups (""international relations"") but has no inside authority, and may be violently removed if he attempts to abuse this position.[46]",1
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"Ayurveda, mean the `` complete knowledge for long life'' be another medical system of India. Its two most famous texts belong to the schools of Charaka and Sushruta. The earliest foundations of Ayurveda be build on a synthesis of traditional herbal practices together with a massive addition of theoretical conceptualizations, new nosologies and new therapies date from about 600 BCE onwards, and come out of the communities of thinkers who include the Buddha and others.[ 16]",0
Architecture,https://en.wikipedia.org/wiki/History_of_architecture,"Important events in the history of the deconstructivist movement include the 1982 Parc de la Villette architectural design competition (especially the entry from Jacques Derrida and Peter Eisenman[25] and Bernard Tschumi's winning entry), the Museum of Modern Art's 1988 Deconstructivist Architecture exhibition in New York, organized by Philip Johnson and Mark Wigley, and the 1989 opening of the Wexner Center for the Arts in Columbus, designed by Peter Eisenman. The New York exhibition featured works by Frank Gehry, Daniel Libeskind, Rem Koolhaas, Peter Eisenman, Zaha Hadid, Coop Himmelblau, and Bernard Tschumi. Since the exhibition, many of the architects who were associated with Deconstructivism have distanced themselves from the term. Nonetheless, the term has stuck and has now, in fact, come to embrace a general trend within contemporary architecture.",1
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"Historians have long debated the extent to which the secret network of Freemasonry was a main factor in the Enlightenment. The leaders of the Enlightenment included Freemasons such as Diderot, Montesquieu, Voltaire, Lessing, Pope,[207] Horace Walpole, Sir Robert Walpole, Mozart, Goethe, Frederick the Great, Benjamin Franklin,[208] and George Washington.[209] Norman Davies said that Freemasonry was a powerful force on behalf of Liberalism in Europe, from about 1700 to the twentieth century. It expanded rapidly during the Age of Enlightenment, reaching practically every country in Europe. It was especially attractive to powerful aristocrats and politicians as well as intellectuals, artists and political activists.[210]",1
Painting,https://en.wikipedia.org/wiki/History_of_painting,"The colors extracted from certain minerals, plant sources, conch shells, and were even derived by processing precious stones, gold and silver were used. The preparation of desired colors was a lengthy process, sometimes taking weeks. Brushes used were very fine.",1
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"German physician Robert Koch, note fellow German Ferdinand Cohn's report of a spore stage of a certain bacterial species, trace the life cycle of Davaine's bacteridia, identify spores, inoculated laboratory animals with them, and reproduce anthrax—a breakthrough for experimental pathology and germ theory of disease. Pasteur's group add ecological investigations confirm spores' role in the natural setting, while Koch publish a landmark treatise in 1878 on the bacterial pathology of wounds. In 1881, Koch report discovery of the `` tubercle bacillus'', cement germ theory and Koch's acclaim.",0
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"At the University of Bologna the training of physicians begin in 1219. The Italian city attract students from across Europe. Taddeo Alderotti build a tradition of medical education that establish the characteristic features of Italian learn medicine and be copy by medical schools elsewhere. Turisanus( d. 1320) be his student.[ 66] The curriculum be revise and strengthen in 1560–1590.[ 67] A representative professor be Julius Caesar Aranzi( Arantius)( 1530–89). He become Professor of Anatomy and Surgery at the University of Bologna in 1556, where he establish anatomy as a major branch of medicine for the first time. Aranzi combine anatomy with a description of pathological processes, base largely on his own research, Galen, and the work of his contemporary Italians. Aranzi discover the'Nodules of Aranzio' in the semilunar valves of the heart and write the first description of the superior levator palpebral and the coracobrachialis muscles. His books( in Latin) cover surgical techniques for many conditions, include hydrocephalus, nasal polyp, goitre and tumours to phimosis, ascites, haemorrhoids, anal abscess and fistulae.[ 68]",0
Materials science,https://en.wikipedia.org/wiki/History_of_materials_science,,0
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"With the rise of the Ottoman Empire, Egypt was easily defeated. In 1517, at the end of an Ottoman–Mamluk War, Egypt became part of the Ottoman Empire. The Istanbul government revived the iqta system. Trade was reestablished in the Red Sea, but it could not completely connect with the Indian Ocean trade because of growing Portuguese presence. During the 17th and 18th centuries, hereditary Mamluks regained power. The leading Mamluks were referred to as beys. Pashas, or viceroys, represented the Istanbul government in name only, operating independently. During the 18th century, dynasties of pashas became established. The government was weak and corrupt.[118]",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"By 711 CE the Umayyad Caliphate had conquered all of North Africa. By the 10th century, the majority of the population of North Africa was Muslim.[107]",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"Augustus gather almost all the republican powers under his official title, princeps: he have powers of consul, princeps senatus, aedile, censor and tribune – include tribunician sacrosanctity.[ 65] This be the base of an emperor's power. Augustus also style himself as Imperator Gaius Julius Caesar divi filius, `` Commander Gaius Julius Caesar, son of the deified one''. With this title he not only boast his familial link to deified Julius Caesar, but the use of Imperator signify a permanent link to the Roman tradition of victory.",0
Geography,https://en.wikipedia.org/wiki/History_of_geography,"An adherent of environmental determinism be the medieval Afro-Arab writer al-Jahiz( 776–869), who explain how the environment can determine the physical characteristics of the inhabitants of a certain community. He use his early theory of evolution to explain the origins of different human skin colors, particularly black skin, which he believe to be the result of the environment. He cite a stony region of black basalt in the northern Najd as evidence for his theory.[ 51]",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"The law pass both houses of Parliament and remain a central feature of Australia's immigration laws until abandon in the 1950s. In the 1930s, the Lyons government unsuccessfully attempt to exclude Egon Erwin Kisch, a German Czechoslovakian communist author from enter Australia, by means of a'dictation test' in Scottish Gaelic. The High Court of Australia rule that Scottish Gaelic be not a European language within the meaning of the Immigration Act( 1901–25). Concerns emerge that the law could be use for such political purposes.[ 235][ 236]",0
Ancient history,https://en.wikipedia.org/wiki/Ancient_history,"The Kingdom of Armenia be an independent kingdom from 190 BC to 387 АD, and a client state of the Roman and Persian empires until 428. Between 95 BC- 55 BC under the rule of King Tigranes the Great, the kingdom of Armenia become a large and powerful empire stretch from the Caspian to the Mediterranean Seas. During this short time it be consider to be the most powerful state in the Roman East.[ 146][ 147]",0
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"The influence of science also began appearing more commonly in poetry and literature during the Enlightenment. Some poetry became infused with scientific metaphor and imagery, while other poems were written directly about scientific topics. Sir Richard Blackmore committed the Newtonian system to verse in Creation, a Philosophical Poem in Seven Books (1712). After Newton's death in 1727, poems were composed in his honour for decades.[31] James Thomson (1700–1748) penned his ""Poem to the Memory of Newton,"" which mourned the loss of Newton, but also praised his science and legacy.[32]",1
Stone Age,https://en.wikipedia.org/wiki/Stone_Age,"The image of the caveman is commonly associated with the Stone Age. For example, the 2003 documentary series showing the evolution of humans through the Stone Age was called Walking with Cavemen, but only the last programme showed humans living in caves. While the idea that human beings and dinosaurs coexisted is sometimes portrayed in popular culture in cartoons, films and computer games, such as The Flintstones, One Million Years B.C. and Chuck Rock, the notion of hominids and non-avian dinosaurs co-existing is not supported by any scientific evidence.",1
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"The Chinese have wide connections through trade in Asia and have be sail to Arabia, East Africa, and Egypt since the Tang Dynasty( AD 618–907). Between 1405 and 1421 the third Ming emperor Yongle sponsor a series of long range tributary missions in the Indian Ocean under the command of admiral Zheng He( Cheng Ho).[ 13]",0
Classical antiquity,https://en.wikipedia.org/wiki/Outline_of_classical_studies,Roman art,1
Information Age,https://en.wikipedia.org/wiki/Information_Age,"In the past, the economic fate of workers was tied to the fate of national economies. For example, workers in the United States were once well paid in comparison to the workers in other countries. With the advent of the Information Age and improvements in communication, this is no longer the case. Because workers are forced to compete in a global job market, wages are less dependent on the success or failure of individual economies.[11]",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"The American Civil War come when seven( later eleven) Southern slave states declare their secession from the U.S. and form the Confederate States of America( the Confederacy). Led by Jefferson Davis, they fight against the U.S. federal government( the Union) under President Abraham Lincoln, which be support by all the free states and the five border slave states in the north.",0
Information Age,https://en.wikipedia.org/wiki/Information_Age,"Eventually, Information and Communication Technology—computers, computerized machinery, fiber optics, communication satellites, Internet, and other ICT tools—became a significant part of the economy. Microcomputers be develop and many businesses and industries be greatly change by ICT.[ citation need]",0
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"After A.D. 400, the study and practice of medicine in the Western Roman Empire went into deep decline. Medical services were provided, especially for the poor, in the thousands of monastic hospitals that sprang up across Europe, but the care was rudimentary and mainly palliative.[51] Most of the writings of Galen and Hippocrates were lost to the West, with the summaries and compendia of St. Isidore of Seville being the primary channel for transmitting Greek medical ideas.[52] The Carolingian renaissance brought increased contact with Byzantium and a greater awareness of ancient medicine,[53] but only with the twelfth century renaissance and the new translations coming from Muslim and Jewish sources in Spain, and the fifteenth century flood of resources after the fall of Constantinople did the West fully recover its acquaintance with classical antiquity.",1
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"The Renaissance bring an intense focus on scholarship to Christian Europe. A major effort to translate the Arabic and Greek scientific work into Latin emerge. Europeans gradually become experts not only the ancient writings of the Romans and Greeks, but in the contemporary writings of Islamic scientists. During the later centuries of the Renaissance come an increase in experimental investigation, particularly in the field of dissection and body examination, thus advance our knowledge of human anatomy.[ 57]",0
